vnem,카테고리,제품명,실판매가,소비자가,상품구성
1,파우더,보뚜 씨벅턴(비타민나무) 열매 파우더,"29,900","80,000",[63%할인] 500g
2,파우더,보뚜 유기농 마키베리 파우더,"37,900","102,000",[63%할인] 300g
3,파우더,보뚜 유기농 아로니아 파우더,"29,700","68,400",[57%할인] 300g
4,파우더,보뚜 차가버섯 추출 분말,"31,900","77,100",[59%할인] 50g x 2통
5,파우더,보뚜 보이차 추출물 분말,"39,500","98,500",[60%할인] 500g
6,파우더,보뚜 유기농 아사이베리 인피드라이 파우더,"32,900","107,400",[69%할인] 270g
7,씨드/닙스,코스트코 카카오닙스,"22,500","84,400","[73%할인] 1,140g"
8,씨드/닙스,보뚜 비폴렌(벌화분),"26,400","50,000",[47%할인] 500g
9,파우더,보뚜 유기농 아사이베리 파우더,"37,600","98,000",[62%할인] 200g
10,파우더,보뚜 유기농 아사이베리 파우더,"24,400","58,000",[1+1행사] 50g
11,파우더,보뚜 유기농 아사이베리 파우더,"13,200","29,000",[최대54%할인] 50g/100g 
12,씨드/닙스,보뚜 현미쌀눈,"25,900","63,600",[77%할인] 1.5kg
13,액상,보뚜 깔라만시 액100,"15,200","48,800","[69% 할인] 2,000ml"
14,액상,보뚜 유기농 노니 주스 100,"28,900","74,400",[61%할인] 50ml x 30포
15,파우더,보뚜 풋사과 추출 분말,"11,800","32,000",[63%할인] 200g
16,액상,보뚜 아사이베리 진액 플러스,"35,800","60,000",[41%할인] 80ml x60포
17,씨드/닙스,보뚜 구운 사차인치,"38,800","76,000",[49%할인] 600g
18,파우더,보뚜 사차인치 파우더,"19,400","28,000",[29%할인] 200g
19,파우더,보뚜 건조맥주효모,"13,000","21,600",[40%할인] 600g
20,파우더,보뚜 와일드망고 씨앗가루,"22,500","40,000",[25%할인] 200g
21,씨드/닙스,보뚜 카카오닙스,"22,300","44,400",[50%할인] 600g
22,오일,보뚜 블랙커민씨드오일 캡슐,"30,000","76,000",[61%할인] 500mg x 60캡슐
23,차,보뚜 보이차,"3,300","7,000",[52%할인] 10g
24,오일,보뚜 아보카도오일 캡슐,"21,000","58,000","[63%할인] 1,000mg x 60캡슐"
25,차,보뚜 팥 차,"2,900","7,000",[58%할인] 20g
26,차,보뚜 우슬 차,"5,200","15,400",[66%할인] 20g
27,차,보뚜 구기자 차,"5,600","15,400",[64%할인] 20g
28,차,보뚜 카카오닙스 차,"9,800","21,400",[54%할인] 40g
29,차,보뚜 노니 차,"3,800","7,700",[51%할인] 10g
30,차,보뚜 돼지감자 차,"2,900","7,000",[58%할인] 10g
31,오일,보뚜 아보카도 오일,"18,000","29,000",[38%할인] 250ml
32,오일,아우카틀 아보카도 오일,"18,000","29,000",[38%할인] 250ml
33,오일,누티바 유기농 버진 코코넛 오일,"23,800","58,000",[59%할인] 828ml
34,파우더,보뚜 마키베리 파우더,"9,400","19,000",[51%할인] 50g
35,파우더,보뚜 유기농 아로니아 파우더,"10,100","13,600",[26%할인] 50g
36,파우더,보뚜 링곤베리 파우더,"39,700","90,000",[56%할인] 200g
37,액상,보뚜 약콩두유 플러스,"27,800","60,000",[54%할인] 190 ml x 40포
38,액상,보뚜 아사이베리 유기농 액 100,"31,300","76,000",[59%할인] 50ml x 30포
39,씨드/닙스,누티바 햄프씨드,"21,000","21,000",150g
40,파우더,보뚜 엘더베리 파우더,"34,800","114,000",[69%할인] 200g
41,파우더,보뚜 카무카무 파우더,"26,600","40,400",[34%할인] 200g
42,스낵,보뚜 슈퍼밸런스 에너지바,"32,400","56,000",[42%할인] 30g x 20입(18+2)
43,스낵,보뚜 슈퍼밸런스 에너지바,"1,800","2,800",[35%할인] 30g x 1입
44,파우더,보뚜 보스웰리아 추출물,"13,800","28,000",[51%할인] 100g
45,액상,보뚜 아사이베리 진액 플러스,"3,500","6,000",[42%할인] 80ml x 5포
46,액상,보뚜 아로니아 액 100,"32,600","78,000",[58%할인] 80ml x 60포
47,액상,보뚜 도라지배 진액 플러스,"22,800","60,000",[62%할인] 80ml x 60포
48,액상,보뚜 호박 진액 플러스,"22,800","60,000",[62%할인] 80ml x 60포
49,액상,보뚜 양배추즙 플러스,"22,800","60,000",[62%할인] 80ml x 60포
50,액상,보뚜 석류액 100 플러스,"47,800","60,000",[20%할인] 80ml x 60포
51,액상,보뚜 레드비트액 100,"39,800","78,000",[48%할인] 80ml x 60포
52,파우더,보뚜 에버코코 코코넛 스위트,"20,200","36,000",[44%할인] 1kg
53,파우더,보뚜 고지베리 파우더 180g,"35,000","90,000",[61%할인] 180g
54,파우더,보뚜 고지베리 동결건조 파우더,"19,400","32,800",[35%할인] 200g
55,파우더,보뚜 유기농 블랙커런트 파우더,"34,000","44,600",[24%할인] 200g
56,파우더,보뚜 밀싹 유기농 파우더,"19,200","55,200",[65%할인] 200g
57,파우더,아두나 바오밥,"9,500","13,800", 30g / 150g 
58,건강기능식품,보뚜 루테인 눈 건강 플러스,"10,200","36,000",[72%할인] 2박스
59,액상,유기농 힐링노니 주스,"25,900","70,000",[63%할인] 473ml / 946ml
60,파우더,보뚜 현미쌀눈 분말,"31,800","46,000",[30%할인] 600g
61,파우더,유기농 바오밥나무열매가루 파우더,"20,700","60,000",[60%할인] 200g
62,오일,라투랑겔 엑스트라 버진 올리브 오일,"29,000","47,200","[39%할인] 1,000ml"
63,차,보뚜 마리골드 건꽃잎,"15,000","21,000",[29%할인] 100g
64,차,보뚜 볶은우엉차,"19,600","37,200",[47%할인] 200g
65,차,보뚜 건조 핑거루트,"12,200","25,000",[최대51%할인] 600g
66,건강기능식품,보뚜 가르시니아 다이어트 플러스,"17,600","50,000", [65%할인] 2박스
67,건강기능식품,보뚜 밀크씨슬 간건강 플러스,"10,600","40,000", [74%할인] 2박스
68,곤충,보뚜 쌍별이,"20,400",, 60g
69,파우더,보뚜 블루베리 파우더,"20,600","32,000",[36%할인] 100g x 1팩
70,씨드/닙스,보뚜 흰강낭콩(키드니빈),"18,400","44,000",[58%할인] 800g x4팩
71,차,보뚜 구아바잎 100g (구아바잎차),"11,800","24,000",[51%할인]
72,오일,보뚜 엑스트라버진 코코넛오일 캡슐,"19,600","18,000","[46%할인] 1,000mg x 60캡슐 x 2통"
73,액상,보뚜 마키베리 액 100,"30,300","73,400",[59%할인] 50ml x 30포
74,파우더,보뚜 라즈베리 파우더,"22,400","33,600",[33%할인] 100g x 1팩
75,파우더,보뚜 블랙베리 파우더,"28,000","48,600",[42%할인] 200g
76,씨드/닙스,보뚜 블랙치아씨드,"15,600","50,800",[69%할인] 2kg
77,씨드/닙스,보뚜 호로파,"19,000","26,200",[27%할인] 1kg
78,씨드/닙스,보뚜 아마란스,"9,800","30,400",[67%할인] 600g
79,씨드/닙스,보뚜 골든베리,"20,500","29,000",[29%할인] 200g x 1팩
80,차,보뚜 구아바잎 차,"5,400","15,400",[65% 할인] 20g
81,차,보뚜 깔라만시 차,"5,400","15,400",[65% 할인] 20g
82,차,보뚜 우엉 차,"6,000","15,400",[51%할인] 20g
83,차,햄프씨드 차,"6,000","21,400",[54%할인] 40g
84,씨드/닙스,보뚜 바질시드,"17,000","24,000",[29%할인] 1kg
85,파우더,보뚜 알팔파 유기농 파우더,"18,800","27,600",[32%할인] 100g
86,오일,라투랑겔 헤이즐넛 오일,"27,800","37,800",[30%할인] 500ml
87,오일,라투랑겔 피스타치오 오일,"39,000","54,800",[29%할인] 500ml
88,오일,라투랑겔 피자 오일,"22,800","32,000",[29%할인] 500ml
89,오일,라투랑겔 월넛 오일,"23,800","33,400",[29%할인] 500ml
90,오일,라투랑겔 타이 웍 오일,"27,000","37,400",[28%할인] 500ml
91,오일,라투랑겔 호박씨 오일,"23,400","32,800",[29%할인] 250ml x 1병
92,액상,내추럴 유기농 아가베시럽,"11,200","12,000",[최대7%할인] 660g x 1통
93,씨드/닙스,보뚜 테프,"5,000","12,700",[61%할인] 500g x 1팩
94,씨드/닙스,그래놀라,"5,900","23,500",[75%할인] 1kg
95,파우더,보뚜 유기농 보리새싹 분말,"7,900","13,800",[42%할인] 100g
96,파우더,보뚜 알팔파 유기농 파우더,"7,900","13,800",[42%할인] 100g x 1팩
97,파우더,보뚜 로즈힙 파우더,"11,900","52,600",[77%할인] 100g x 1통
98,오일,[TV 홈쇼핑 상품] 보뚜 아보카도 오일,"174,000","174,000",250ml x 6병
99,파우더,[TV 홈쇼핑 상품] 아두나 바오밥,"207,000","207,000",30g x 15팩
100,씨드/닙스,[TV 홈쇼핑 상품] 누티바 햄프씨드,"231,000","231,000",150g x 11팩
101,파우더,[TV 홈쇼핑 상품]보뚜 고지베리 파우더,"180,000","180,000",30g x 12통
102,씨드/닙스,[TV 홈쇼핑 상품]보뚜 블랙치아씨드,"101,600","101,600",500g x 8팩
103,씨드/닙스,[TV 홈쇼핑 상품]보뚜 테프,"101,600","101,600",500g x 8팩
104,건강기능식품,[TV 홈쇼핑 상품] 보뚜 가르시니아 다이어트 플러스,"200,000","200,000",60정 x 8박스
105,건강기능식품,[TV 홈쇼핑 상품] 보뚜 밀크씨슬 간건강 플러스,"160,000","160,000",30정 x 8박스
106,건강기능식품,[TV 홈쇼핑 상품] 보뚜 루테인 눈 건강 플러스,"144,000","144,000",30캡슐 x 8박스
107,액상,[TV 홈쇼핑 상품] 보뚜 약콩두유,"90,000","90,000",190ml x 60팩
108,파우더,보뚜 레드마카 파우더,"2,900","23,000",[87%할인] 100g x 1팩
